Département;Nom commune;code postal;Grand secteur d'activité;APE;Code région;Code département;Nombre d'établissements 2024;Effectifs salariés 2024
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8520Z Enseignement primaire;11.0;92.0;2.0;56.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8551Z Enseignement de disciplines sportives et d'activités de loisirs;11.0;92.0;4.0;6.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8621Z Activité des médecins généralistes;11.0;92.0;10.0;29.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8622A Activités de radiodiagnostic et de radiothérapie;11.0;92.0;1.0;2.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8622B Activités chirurgicales;11.0;92.0;4.0;7.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8623Z Pratique dentaire;11.0;92.0;16.0;31.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8690B Laboratoires d'analyses médicales;11.0;92.0;3.0;19.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8690D Activités des infirmiers et des sages-femmes;11.0;92.0;1.0;2.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8690E Activité profess. rééducation appareillage & pédicures-podologues;11.0;92.0;4.0;4.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8710A Hébergement médicalisé pour personnes âgées;11.0;92.0;4.0;241.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8720A Hébergement social pour handicapés mentaux et malades mentaux;11.0;92.0;1.0;47.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8810C Aide par le travail;11.0;92.0;4.0;296.0
Hauts-de-Seine;Meudon;92048.0;GS7 Services non marchands;8891B Accueil ou accompagnement sans hébergement d'enfants handicapés;11.0;92.0;1.0;13.0
Hauts-de-Seine;Meudon;92048.0;GS5 Autres services marchands hors intérim;9313Z Activités des centres de culture physique;11.0;92.0;1.0;3.0
Hauts-de-Seine;Meudon;92048.0;GS5 Autres services marchands hors intérim;9329Z Autres activités récréatives et de loisirs;11.0;92.0;2.0;2.0
