code postal;libgeo;p24_pop
92033;Garches;17898
92032;Fontenay-aux-Roses;24772
92025;Colombes;88870
92007;Bagneux;43699
92046;Malakoff;30292
92004;Asnières-sur-Seine;89662
92023;Clamart;54491
92048;Meudon;46342
92072;Sèvres;22618
92009;Bois-Colombes;29765
92050;Nanterre;97351
92051;Neuilly-sur-Seine;59267
92064;Saint-Cloud;29727
92026;Courbevoie;81516
92012;Boulogne-Billancourt;119808
92036;Gennevilliers;49410
92014;Bourg-la-Reine;20810
92073;Suresnes;49104
92035;La Garenne-Colombes;29932
92077;Ville-d'Avray;10694
92076;Vaucresson;8566
92063;Rueil-Malmaison;78186
92075;Vanves;28014
92020;Châtillon;36777
92019;Châtenay-Malabry;34898
92060;Le Plessis-Robinson;29228
92078;Villeneuve-la-Garenne;25371
92024;Clichy;64849
92062;Puteaux;43672
92022;Chaville;19991
92047;Marnes-la-Coquette;1745
92002;Antony;63232
92044;Levallois-Perret;68009
92049;Montrouge;47657
92040;Issy-les-Moulineaux;68580
92071;Sceaux;20488
