stop_name;stop_lon;stop_lat;shortName;mode;Pointgeo;Nom_commune;code postal
Jean Jaurï¿½s;2.2383897485340376;48.84198719686948;52;Bus;48.841987196869475, 2.2383897485340376;Boulogne-Billancourt;92012
Rue de Silly;2.231843442815185;48.84146867092551;52;Bus;48.84146867092551, 2.2318434428151854;Boulogne-Billancourt;92012
Rhin et Danube - Mï¿½tro;2.2293978593380217;48.84099426000296;52;Bus;48.84099426000296, 2.2293978593380217;Boulogne-Billancourt;92012
Pont de Saint-Cloud - Albert Kahn;2.226944050482211;48.84107735903476;52;Bus;48.841077359034756, 2.226944050482211;Boulogne-Billancourt;92012
Parc de Saint-Cloud;2.2219767425622123;48.84250214506673;52;Bus;48.84250214506673, 2.2219767425622123;Saint-Cloud;92064
Pont de Saint-Cloud - Albert Kahn;2.2272066427486727;48.840827230275366;52;Bus;48.840827230275366, 2.2272066427486727;Boulogne-Billancourt;92012
Rue de Silly;2.231831409098769;48.84136066856436;52;Bus;48.841360668564356, 2.231831409098769;Boulogne-Billancourt;92012
La Tourelle;2.2516119604361307;48.84446297642898;52;Bus;48.84446297642898, 2.2516119604361307;Boulogne-Billancourt;92012
Lï¿½on Blum;2.300592630805395;48.90682285011941;54;Bus;48.906822850119404, 2.300592630805395;Clichy;92024
Barbusse - Martre;2.307939581203164;48.90114586913622;54;Bus;48.90114586913622, 2.307939581203164;Clichy;92024
Jean Jaurï¿½s - Jean Bleuzen;2.29757983622264;48.82375930052893;58;Bus;48.82375930052893, 2.29757983622264;Vanves;92075
Adolphe Pinard;2.3009935622999773;48.82515535830809;58;Bus;48.82515535830809, 2.3009935622999773;Vanves;92075
Chï¿½tillon - Montrouge - Mï¿½tro;2.303637295843868;48.81180589840054;68;Bus;48.81180589840054, 2.3036372958438682;Montrouge;92049
Jules Guesde;2.3063553371847987;48.813242737026656;68;Bus;48.813242737026656, 2.3063553371847987;Montrouge;92049
Jean Jaurï¿½s;2.3105314824022174;48.81565027416114;68;Bus;48.81565027416114, 2.3105314824022174;Montrouge;92049
Verdier - Guillot;2.314026837939472;48.81600315267664;68;Bus;48.816003152676636, 2.3140268379394717;Montrouge;92049
Jean Jaurï¿½s - Stades multisports;2.310814175693586;48.8148694360906;68;Bus;48.814869436090596, 2.310814175693586;Montrouge;92049
Jules Guesde;2.3092808107236675;48.81239625929975;68;Bus;48.812396259299746, 2.3092808107236675;Montrouge;92049
Maurice Arnoux;2.307340898421492;48.81081110049005;68;Bus;48.81081110049005, 2.3073408984214914;Montrouge;92049
Ancienne Mairie;2.234261659229748;48.840099135849975;72;Bus;48.840099135849975, 2.2342616592297477;Boulogne-Billancourt;92012
Victor Hugo;2.246359988601569;48.839213637969294;72;Bus;48.839213637969294, 2.246359988601569;Boulogne-Billancourt;92012
Maurice Barres;2.2589773892213545;48.88132843471266;73;Bus;48.88132843471266, 2.2589773892213545;Neuilly-sur-Seine;92051
Boieldieu;2.240337134025124;48.88786672191782;73;Bus;48.88786672191782, 2.240337134025124;Puteaux;92062
Pont de Neuilly;2.260190265541585;48.884258787737096;73;Bus;48.884258787737096, 2.260190265541585;Neuilly-sur-Seine;92051
Victor Hugo - Jean Jaurï¿½s;2.3109601164262936;48.89761096972901;74;Bus;48.89761096972901, 2.3109601164262936;Clichy;92024
Curton;2.3125562276384697;48.898627381953695;74;Bus;48.898627381953695, 2.3125562276384697;Clichy;92024
Gï¿½nï¿½ral Leclerc - Villeneuve - Hï¿½pital Beaujon;2.310173425079983;48.90551145070189;74;Bus;48.90551145070189, 2.310173425079983;Clichy;92024
Rï¿½publique - Franï¿½ois Mitterrand;2.3136097943468;48.90251848287129;74;Bus;48.90251848287129, 2.3136097943468;Clichy;92024
